영단어,동의어,단어뜻,예문,예문뜻
swallow,gulp,"들이키다, 삼키다 , 꿀꺽 삼키다; (명) 삼킴, 마심; 제비",Swallows migrate south in the winter.,제비는 겨울에 남쪽으로 이동한다.
edible,eatable,"식용에 적합한, 식용의","No society thinks all food is edible: what is eaten in one society is ignored, or considered taboo in another.",모든 음식을 다 먹을 수 있다고 생각하는 사회는 없다. 한 사회에서 먹는 것이 다른 사회에서는 무시되거나 금기로 여겨진다.
vegetarian,,채식(주의)자,Do you have anything for vegetarians?,채식주의자를 위한 것이 있나요?
devour,,게걸스럽게 먹다; 먹어 치우다,He approached the pie and started to devour it.,그는 파이에 다가가 그것을 게걸스럽게 먹기 시작했다.
appetizer,,"식욕을 돋우는 것, 전채",They were served a special mushroom appetizer.,그들은 특별 버섯 전채를 대접받았다.
ingredient,"element, component","성분, 원료, 재료",It was decided that the salad bar would offer only the freshest ingredients.,샐러드 바에는 가장 신선한 재료만을 내놓기로 결정했다.
furniture,,"가구, 세간",All the furniture was equipped in the dormitory.,기숙사는 모든 가구가 설치되어 있었다.
clothes,"costume, outfit","옷, 의복",Clothes make the man.,옷이 날개다.
clothes,"costume, outfit","옷, 의복",Beware of the wolf in sheep's clothing.,양의 가죽을 쓴 늑대를 조심하라.
fabric,"cloth, textile","직물, 천",I'm afraid I can't match this fabric.,유감스럽게도 이 천에는 맞는 것을 찾을 수 없다.
naked,"nude, stripped","나체의, 벌거벗은","Both the boys were naked, and were not ashamed.",아이들은 둘 다 벌거벗었으나 부끄러워하지 않았다.
fit,,"꼭 맞다, 어울리다, 적합하다; (형) 적당한, 꼭 맞는",This coat doesn’t fit me.,이 웃옷은 나에게는 맞지 않는다.
fit,,"꼭 맞다, 어울리다, 적합하다; (형) 적당한, 꼭 맞는",A barn is not fit for human habitation.,헛간은 사람의 주거지로는 적당하지 않다.
necessity,"need, essential","필요, 필요성 ; (종종 pl.)) 필수품","What some people think of as luxuries, other people consider necessities.",어떤 사람들에게는 사치품으로 생각되는 것들이 다른 사람들에게는 필수품 으로 여겨진다.
necessity,"need, essential","필요, 필요성 ; (종종 pl.)) 필수품",Necessity is the mother of invention.,필요는 발명의 어머니.
commodity,,"(흔히 pl.) 일용품, 필수품, 물자; 상품",The prices of commodities have gone down.,물가가 떨어졌다.
suit,"clothing, costume",옷 한 벌; (동) 적응시키다; 어울리다,I guess I need to get a suit to wear.,양복 한 벌을 사야할 것 같아.
suit,"clothing, costume",옷 한 벌; (동) 적응시키다; 어울리다,No book suits all tastes.,모든 사람의 마음에 드는 책은 없다.
costume,"clothing, outfit, uniform","복장, 시대 의상, 몸차림; (무대) 의 상",The bride was dressed in traditional costume.,그 신부는 전통적인 복장을 하고 있었다.
comfortable,"pleasant, homely","편안한, 기분 좋은",This new bed is as comfortable as an old shoe.,이 새 침대는 아주 편안하다.
neat,"clean, tidy","산뜻한, 아담하고 깨끗한 , 깔끔한, 단정한",He cleans the floors and keeps everything neat.,그는 마루를 깨끗이 청소하고 모든 것을 깔끔히 정리한다.
sewing,,바느질; 재봉,My mom is good at sewing.,우리 엄마는 바느질을 잘 하신다.
trousers,pants,(pl.) (남자의) 바지,Do you have a jacket to match these trousers?,이 바지와 어울리는 재킷 있습니까?
polish,shine,"닦다, 광택을 내다",The man is polishing his violin.,남자가 그의 바이올린을 닦고 있다.
luxury,,"사치, 호사; 사치품",Foreigners are amazed by the affluence and luxury of the American way of life.,외국인들은 미국 생활 방식의 사치와 풍요에 대해 놀란다.
tidy,"neat, clean",단정한; 말끔히 정돈된; 깔끔한,My new roommate is very tidy.,내 새 룸메이트는 아주 깔끔하다.
ornament,"decoration, accessory",장식(품); 장신구,The woman is looking at ornaments.,여자가 장신구를 보고 있다.
laundry,dry-cleaner's,(집합적) 세탁물; 세탁소,I put my laundry into the washing machine.,세탁기에 빨래를 넣었다.
laundry,dry-cleaner's,(집합적) 세탁물; 세탁소,Do you have any idea where I could find a laundry?,세탁소가 어디 있는지 혹시 아세요?
stain,spot,"얼룩, 오점; 착색; (동) 더럽히다; ~에 채색하다 a.stainless 더럽혀지지 않은; 흠이 없는",The clothes had many stains.,그 옷은 얼룩이 많았다.
stain,spot,"얼룩, 오점; 착색; (동) 더럽히다; ~에 채색하다 a.stainless 더럽혀지지 않은; 흠이 없는",This white board is stained.,이 화이트보드는 얼룩이 졌군요.
utensil,,"기구, 도구; 가정용품",Do you have kitchen utensils?,주방용품 있나요?
strip,,"가늘고 긴 조각, 작은 조각; (동) 벗기다; 빼앗다; 벌거벗다",I used a strip of cloth and a strip of paper.,나는 천 조각과 종이 조각을 이용했다.
strip,,"가늘고 긴 조각, 작은 조각; (동) 벗기다; 빼앗다; 벌거벗다",We stripped the wallpaper from the walls.,우리는 벽에서 벽지를 뜯어냈다.
weave,knit,천을 짜다; (이야기를) 꾸미다,Students can learn how the native groups weave cloth.,학생들은 어떻게 원주민들이 직물을 짜는지에 대해서 배울 수 있다.
garment,clothes,의복 한 점; 긴 웃옷,You have to launder this garment by hand.,이 옷은 꼭 손으로 빨아야 해요.
ready-made,,기성품의; 기성품을 파 는; 꼭 알맞은; 진부한,Is it ready-made or custom-tailored?,"그 옷은 기성복이냐, 아니면 맞춤복이냐?"
underwear,underclothes,"내의, 속옷",I can't sleep in my underwear.,나는 속옷을 입고는 잘 수 없다.
textile,,"직물, 옷감, 섬유; 직물의 원료","Because it is durable and easy to dye, cotton is an important textile fiber.","그것은 내구성 있고 염색하기 쉽기 때문에, 면(목화)은 중요한 직물 섬유이 다."
stripe,,줄무늬; 줄무늬 있는 천; (보통 pl.)) 줄무늬 옷,I like to wear vertical stripes rather than horizontal stripes.,난 가로줄 무늬보다 세로줄 무늬 옷을 입고 싶어.
vogue,fashion,"유행, 성행; 인기, 호평",Short skirts are all the vogue.,짧은 치마가 대유행이다.
fashionable,,"유행의, 최신 유행의",It is fashionable to wear small watches now.,요즈음은 작은 시계를 차는 것이 유행이다.
detergent,,"세제, (특히) 합성 세제",The detergent is sold in powdered form.,그 세제는 가루 형태로 판매된다.
area,"district, region","지역, 범위, 구역",They are looking at a map of the area.,그들은 그 지역의 지도를 보고 있다.
backyard,,뒤뜰,We have a frontyard and a big backyard.,우리는 앞마당과 아주 큰 뒷마당이 있어요.
backyard,,뒤뜰,I have a fire in my own backyard.,내 발등에 불이 떨어졌어.(남의 일을 봐줄 형편이 안 된다.)
neighbor,,"이웃, 이웃 사람",A near neighbor is better than a distant cousin.,가까운 이웃이 먼 사촌보다 낫다.
housing,,"(집합적) 주택; 피난처; 주택 공급, 주택 건설",The government has promised to provide cheap housing for poor people.,정부는 가난한 사람들에게 싼 주택을 공급하기로 약속했다.
garage,,"(자동차) 차고, 자동차 정비소; (영국의) 주유소","The garage is open, so you can reverse in.",차고가 열려 있으니 후진해서 들어가면 된다.
garage,,"(자동차) 차고, 자동차 정비소; (영국의) 주유소",I bought it for just 10 bucks at a garage sale.,창고 세일에서 10달러 주고 샀어요.
store,,"저축하다, 저장하다; (명) 가게, 상점",The data is stored on a hard disk.,그 자료는 하드 디스크에 저장되어 있다.
lodge,cabin,"오두막집; (동) 숙박[투숙]시키다 , 하숙하다",There is a hunting lodge over there.,저기에 사냥꾼용 산막이 있다.
lodge,cabin,"오두막집; (동) 숙박[투숙]시키다 , 하숙하다",I lodged in the house near the university.,대학교 근처의 집에서 하숙을 했다.
decorate,ornament,"장식하다, 꾸미다",The woman is decorating her mirror.,여자가 거울을 장식하고 있다.
repair,"mend, fix","수리[수선]하다; (건강·힘 등을) 되찾다, 회복하다",Do you know how long will it take for you to repair the car?,차를 수리하는데 얼마나 걸리는지 아세요?
fix,"repair, mend, arrange","고치다, 수리하다; 고정시키다; 정리하다; (식사를) 준비하다",Refer to the instructions to fix the refrigerator.,냉장고를 수리하려면 사용 설명서를 참조해 주세요.
electricity,,전기; 전기학; 전류,The electricity was out all afternoon.,오늘 오후 내내 정전이었어요.
locate,,위치를 정하다[찾아내다],"The bank had tried to trace the check, but they were unable to locate it.","은행은 수표를 추적해 보았지만, 어디 있는지 찾을 수가 없었다."
property,,"(집합적) 재산, 자산; 성질, 특성",The courts ordered the seizure of all her property.,법원은 그녀의 모든 재산 압류를 지시했다.
domestic,"home, native; trained, tame",가정의; 국 내의; (동물이) 사육되어 길들여진,"Thanks to a booming domestic film industry, the number of young aspiring film makers is increasing by the day.","흥행하는 국내의 영화 산업 덕분에, 야심 있는 젊은 영화 제작자들의 숫자 가 하루가 다르게 증가하고 있다."
possess,"own, have","소유하다, 가지다",What skill must candidates possess?,지원자는 어떤 기술을 보유하고 있어야 하는가?
parking,,"주차, 주차 장소",Our parking lot is so limited that we can't find a vacant parking space.,우리 주차장은 매우 한정되어 있어서 빈 주차 공간을 찾을 수가 없다.
reside,"live, dwell","살다, 거주하다","North Koreans residing overseas and wishing to defect to South Korea are estimated to range from 400 to 1,200.",남한으로의 귀순을 원하는 해외 거주 북한인의 수는 4백~1천 2백여 명에 이를 것으로 추산된다.
mend,"repair, improve, reform","수선하다, 고치다; 개선하다",It is the watch I was anxious to have mended.,그것이 내가 수선을 시키려고 했던 시계다.
dwell,"live, reside; think","살다, 거주하다; 깊이 생각하다",My father dwells in the country.,나의 아버지는 시골에 거주하신다.
dwell,"live, reside; think","살다, 거주하다; 깊이 생각하다",Stop dwelling on the little things.,작은 일에 연연하지 말아요.
inhabit,"live in, reside in, dwell in","살다, 거주하다; 서식하다",A large number of squirrels inhabit this forest.,이 숲에는 수많은 다람쥐가 살고 있다.
convenient,"suitable, useful","편리한, 사용하기 편한",Shopping from home on a computer can be convenient and fun.,컴퓨터상으로 집에서 쇼핑하는 것은 편리하고 재미있을 수 있다.
suburb,"outer area, outskirts","교외, 근교, 시외",The next issue is about crime in the suburbs.,다음 주제는 도시 근교의 범죄에 관해서이다.
resident,,"거주자, 주민 ; 전문의, 수련생; (형) 거주하는, 살고 있는",The local residents were angry at the lack of parking spaces.,지역 주민들은 주차 공간의 부족에 대해 화를 내고 있었다.
urban,,"도시의, 도시에 사는",More and more people are moving from urban to rural areas.,도시에서 농촌 지역으로 이주하는 사람이 점점 더 늘고 있다.
